index_original,date_original
117,12 February 2024
119,7 February 2024
120,7 February 2024
121,6 February 2024
126,9 February 2024
131,9 February 2024
133,6 February 2024
134,5 February 2024
142,1 February 2024
146,6 February 2024
3062,7 February 2024
3065,7 February 2024
3066,1 February 2024
3074,8 February 2024
3079,7 February 2024
3082,6 February 2024
3096,8 February 2024
3101,18 February 2024
3104,10 February 2024
3112,9 February 2024
