title,date,date_transformed,employer,location,salary,salary_copy,working_hours,day_of_week,month,min_salary,max_salary
Data Analyst Trainee,3 January,2024-01-03,ITonlinelearning Recruitment,Enfield, Training Course, Training Course,"Permanent, full-time",Wednesday,January,2,2
Data Analyst Trainee,2 January,2024-01-02,ITonlinelearning Recruitment,East London, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,26 January,2024-01-26,ITonlinelearning Recruitment,Warrington, Training Course, Training Course,"Permanent, full-time",Friday,January,2,2
Data Analyst Trainee,29 January,2024-01-29,ITonlinelearning Recruitment,Slough, Training Course, Training Course,"Permanent, full-time",Monday,January,2,2
Data Analyst Trainee,27 December,2023-12-27,ITonlinelearning Recruitment,Nottingham, Training Course, Training Course,"Permanent, full-time",Wednesday,December,2,2
Data Analyst Trainee,27 December,2023-12-27,ITonlinelearning Recruitment,Liverpool, Training Course, Training Course,"Permanent, full-time",Wednesday,December,2,2
Data Analyst Trainee,23 January,2024-01-23,ITonlinelearning Recruitment,Swindon, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,23 January,2024-01-23,ITonlinelearning Recruitment,Barking, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,22 January,2024-01-22,ITonlinelearning Recruitment,London, Training Course, Training Course,"Permanent, full-time",Monday,January,2,2
Data Analyst Trainee,22 January,2024-01-22,ITonlinelearning Recruitment,Northampton, Training Course, Training Course,"Permanent, full-time",Monday,January,2,2
Data Analyst Trainee,16 January,2024-01-16,ITonlinelearning Recruitment,Southampton, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,16 January,2024-01-16,ITonlinelearning Recruitment,Wolverhampton, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,16 January,2024-01-16,ITonlinelearning Recruitment,Romford, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,9 January,2024-01-09,ITonlinelearning Recruitment,Uxbridge, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,10 January,2024-01-10,ITonlinelearning Recruitment,Southend-on-Sea, Training Course, Training Course,"Permanent, full-time",Wednesday,January,2,2
Data Analyst Trainee,10 January,2024-01-10,ITonlinelearning Recruitment,London, Training Course, Training Course,"Permanent, full-time",Wednesday,January,2,2
Data Analyst Trainee,8 December,2023-12-08,ITonlinelearning Recruitment,Birmingham, Training Course, Training Course,"Permanent, full-time",Friday,December,2,2
Data Analyst Trainee,4 January,2024-01-04,ITonlinelearning Recruitment,East London, Training Course, Training Course,"Permanent, full-time",Thursday,January,2,2
"Data Analyst, IAU",3 days ago,2024-04-24,The Health Foundation,City of London,Competitive salary,Competitive salary,"Permanent, full-time",Wednesday,April,1,1
Data Analyst Trainee,23 January,2024-01-23,ITonlinelearning Recruitment,Newcastle Upon Tyne, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,24 January,2024-01-24,ITonlinelearning Recruitment,Ipswich, Training Course, Training Course,"Permanent, full-time",Wednesday,January,2,2
Data Analyst Trainee,15 April,2024-04-15,ITonlinelearning Recruitment,Stockport, Training Course, Training Course,"Permanent, full-time",Monday,April,2,2
Data Analyst Trainee,15 April,2024-04-15,ITonlinelearning Recruitment,Bolton, Training Course, Training Course,"Permanent, full-time",Monday,April,2,2
Data Analyst Trainee,29 January,2024-01-29,ITonlinelearning Recruitment,Bournemouth, Training Course, Training Course,"Permanent, full-time",Monday,January,2,2
Data Analyst Trainee,28 December,2023-12-28,ITonlinelearning Recruitment,Leeds, Training Course, Training Course,"Permanent, full-time",Thursday,December,2,2
Data Analyst Trainee,29 January,2024-01-29,ITonlinelearning Recruitment,York, Training Course, Training Course,"Permanent, full-time",Monday,January,2,2
Data Analyst Trainee,28 December,2023-12-28,ITonlinelearning Recruitment,Leicester, Training Course, Training Course,"Permanent, full-time",Thursday,December,2,2
Data Analyst Trainee,24 January,2024-01-24,ITonlinelearning Recruitment,Wigan, Training Course, Training Course,"Permanent, full-time",Wednesday,January,2,2
Data Analyst Trainee,25 January,2024-01-25,ITonlinelearning Recruitment,Oxford, Training Course, Training Course,"Permanent, full-time",Thursday,January,2,2
Data Analyst Trainee,23 January,2024-01-23,ITonlinelearning Recruitment,Dudley, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,23 January,2024-01-23,ITonlinelearning Recruitment,"Sutton, Macclesfield", Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,22 January,2024-01-22,ITonlinelearning Recruitment,Milton Keynes, Training Course, Training Course,"Permanent, full-time",Monday,January,2,2
Data Analyst Trainee,22 January,2024-01-22,ITonlinelearning Recruitment,Blackpool, Training Course, Training Course,"Permanent, full-time",Monday,January,2,2
Data Analyst Trainee,16 January,2024-01-16,ITonlinelearning Recruitment,Crayford, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,16 January,2024-01-16,ITonlinelearning Recruitment,Harrow On The Hill, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,16 January,2024-01-16,ITonlinelearning Recruitment,Luton, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,5 January,2024-01-05,ITonlinelearning Recruitment,Reading, Training Course, Training Course,"Permanent, full-time",Friday,January,2,2
Data Analyst Trainee,10 January,2024-01-10,ITonlinelearning Recruitment,Ilford, Training Course, Training Course,"Permanent, full-time",Wednesday,January,2,2
Data Analyst Trainee,16 January,2024-01-16,ITonlinelearning Recruitment,Derby, Training Course, Training Course,"Permanent, full-time",Tuesday,January,2,2
Data Analyst Trainee,4 January,2024-01-04,ITonlinelearning Recruitment,Birkenhead, Training Course, Training Course,"Permanent, full-time",Thursday,January,2,2
