min_salary
28000
32000
42000
22778
18000
15000
75600
100800
30000
30000
88200
11232
27000
35000
35000
35000
37000
36287
35000
40000
35000
25000
35000
35000
45000
30000
25000
45000
35000
45000
35000
113400
35000
22000
35000
45000
40000
30000
9360
30000
33525
40000
100800
23000
50000
30000
45000
45000
126000
35000
50000
30000
55000
35000
45000
50000
40000
25000
40000
51600
113400
20500
30000
50000
45360
35000
41000
40000
50000
40000
28000
30000
32000
68000
55000
40000
24000
55000
70000
138600
85000
25000
21000
45000
35000
35000
30000
60000
55000
35000
28000
55000
50400
21000
50000
55000
33850
27200
30000
88200
75600
50400
55000
35000
27000
80000
80000
36000
23000
25000
30000
55000
37500
42000
40000
40000
37000
151200
28000
30000
113400
30000
35000
75000
30000
35000
40000
28000
52000
50000
100800
35000
35000
14352
20000
33000
11232
30000
60000
39000
11232
38000
24000
113400
88200
45000
100800
55000
65000
65000
28000
32000
42000
65000
65000
65000
35000
55000
50000
35000
28000
28000
30000
35000
35000
30000
21000
33000
14352
35000
176400
138600
50000
151200
22000
22000
22000
22000
